35°33'40.1739"N,097°39'24.8789"W
35°36'31.8027"N,097°38'23.2574"W
35°36'31.7573"N,097°38'20.8075"W
35°36'31.5456"N,097°38'17.8518"W
35°36'31.1373"N,097°38'14.9569"W
35°36'31.5002"N,097°38'13.2559"W
35°36'31.5002"N,097°38'11.4346"W
35°36'31.6061"N,097°38'08.9800"W
35°36'31.8632"N,097°38'07.2823"W
35°36'31.8178"N,097°38'05.3294"W
35°36'32.0144"N,097°38'03.1248"W
35°36'32.2261"N,097°38'00.7365"W
35°36'32.4832"N,097°37'58.1552"W
35°36'32.5285"N,097°37'55.7039"W
35°36'32.3773"N,097°37'52.3078"W
35°36'32.2261"N,097°37'48.9081"W
35°36'32.2261"N,097°37'44.7609"W
35°36'32.2261"N,097°37'40.6736"W
35°36'32.2261"N,097°37'36.5884"W
35°36'32.2261"N,097°37'32.4993"W
35°36'32.3319"N,097°37'30.4872"W
35°36'32.4378"N,097°37'29.1654"W
35°36'32.5436"N,097°37'27.7200"W
35°36'32.5890"N,097°37'25.8971"W
35°36'32.4832"N,097°37'23.4449"W
35°36'32.8310"N,097°37'20.8660"W
35°36'33.0427"N,097°37'17.5979"W
35°36'33.2544"N,097°37'13.9490"W
35°36'33.4056"N,097°37'10.3636"W
35°36'33.5568"N,097°37'06.7200"W
35°36'33.8139"N,097°37'03.0714"W
35°36'34.0710"N,097°36'59.3589"W
35°36'33.9651"N,097°36'56.6554"W
35°36'34.0710"N,097°36'54.4596"W
35°36'34.3281"N,097°36'52.1971"W
35°36'34.3734"N,097°36'49.4307"W
35°36'34.3281"N,097°36'45.8477"W
35°36'34.2827"N,097°36'41.6965"W
35°36'34.3281"N,097°36'36.9174"W
35°36'34.3734"N,097°36'31.4461"W
35°36'34.3734"N,097°36'26.1004"W
35°36'34.3281"N,097°36'20.7580"W
35°36'34.3885"N,097°36'15.4142"W
35°36'34.3432"N,097°36'10.1320"W
35°36'34.2978"N,097°36'05.2305"W
35°36'34.2978"N,097°36'00.3235"W
35°36'34.2978"N,097°35'55.0452"W
35°36'34.2978"N,097°35'49.7631"W
35°36'34.2978"N,097°35'44.4830"W
35°36'34.2978"N,097°35'39.2028"W
35°36'34.2978"N,097°35'33.9208"W
35°36'34.1920"N,097°35'32.6633"W
35°36'33.9802"N,097°35'31.3435"W
35°36'33.8290"N,097°35'29.5831"W
35°36'33.5266"N,097°35'27.6982"W
35°36'33.1637"N,097°35'25.7491"W
35°36'32.9519"N,097°35'23.6095"W
35°36'32.6949"N,097°35'21.4715"W
35°36'32.6495"N,097°35'20.1527"W
35°36'32.4378"N,097°35'19.0204"W
35°36'32.2866"N,097°35'17.5096"W
35°36'32.1354"N,097°35'15.8750"W
35°36'32.0900"N,097°35'12.7310"W
35°36'32.2261"N,097°35'09.7738"W
35°36'32.0749"N,097°35'07.3832"W
35°36'32.1656"N,097°35'06.7498"W
35°36'30.3207"N,097°35'06.6885"W
35°36'28.3851"N,097°35'06.6886"W
35°36'25.9808"N,097°35'06.6261"W
35°36'23.4252"N,097°35'06.5007"W
35°36'20.8697"N,097°35'06.4353"W
35°36'19.7507"N,097°35'06.6840"W
35°36'17.9059"N,097°35'06.8123"W
35°36'14.6397"N,097°35'06.8121"W
35°36'10.8595"N,097°35'06.8110"W
35°36'07.1700"N,097°35'06.8124"W
35°36'03.4806"N,097°35'06.8118"W
35°35'59.7912"N,097°35'06.8074"W
35°35'56.1170"N,097°35'06.8050"W
35°35'52.4428"N,097°35'06.8064"W
35°35'48.7687"N,097°35'06.8021"W
35°35'45.0946"N,097°35'06.8035"W
35°35'41.4206"N,097°35'06.8012"W
35°35'37.7466"N,097°35'06.8044"W
35°35'34.0576"N,097°35'06.8019"W
35°35'32.1073"N,097°35'06.1701"W
35°35'30.1116"N,097°35'05.8548"W
35°35'27.2995"N,097°35'05.4129"W
35°35'24.1246"N,097°35'04.8471"W
35°35'20.4509"N,097°35'03.7777"W
35°35'16.8225"N,097°35'02.8325"W
35°35'13.1942"N,097°35'01.6377"W
35°35'09.5659"N,097°35'00.1918"W
35°35'05.9982"N,097°34'58.4293"W
35°35'02.1735"N,097°34'56.6712"W
35°34'58.1372"N,097°34'54.4692"W
35°34'53.7382"N,097°34'51.7628"W
35°34'49.3392"N,097°34'48.9327"W
35°34'48.9310"N,097°34'48.5573"W
35°34'48.6741"N,097°34'48.2389"W
35°34'48.4624"N,097°34'48.1739"W
35°34'48.5078"N,097°34'49.6818"W
35°34'48.5682"N,097°34'51.6921"W
35°34'48.6136"N,097°34'55.0862"W
35°34'49.2938"N,097°34'57.7245"W
35°34'49.8532"N,097°34'58.9840"W
35°34'50.8811"N,097°35'00.2442"W
35°34'52.1055"N,097°35'01.2506"W
35°34'53.4358"N,097°35'02.3158"W
35°34'55.2196"N,097°35'03.6986"W
35°34'56.8522"N,097°35'05.7724"W
35°34'57.5627"N,097°35'05.8984"W
35°34'58.5302"N,097°35'05.8966"W
35°34'59.7547"N,097°35'05.8960"W
35°34'59.9059"N,097°35'04.4513"W
35°34'59.9059"N,097°35'03.0074"W
35°34'59.6489"N,097°35'02.1264"W
35°34'59.2407"N,097°35'01.3721"W
35°34'58.2581"N,097°35'00.5546"W
35°34'56.7767"N,097°34'59.6743"W
35°34'57.8953"N,097°35'00.1794"W
35°34'59.1803"N,097°35'01.2499"W
35°34'59.8454"N,097°35'02.6338"W
35°34'59.9966"N,097°35'03.4485"W
35°34'59.9513"N,097°35'04.4570"W
35°34'59.6489"N,097°35'05.9010"W
35°34'58.3640"N,097°35'05.8355"W
35°34'57.3058"N,097°35'05.8369"W
35°34'56.8522"N,097°35'05.8362"W
35°34'57.0639"N,097°35'06.6549"W
35°34'57.4720"N,097°35'07.7843"W
35°34'57.7290"N,097°35'09.7339"W
35°34'57.8802"N,097°35'12.3112"W
35°34'57.7744"N,097°35'14.5101"W
35°34'57.7290"N,097°35'17.1537"W
35°34'57.8349"N,097°35'20.4207"W
35°34'57.5325"N,097°35'22.6166"W
35°34'57.2302"N,097°35'24.8182"W
35°34'56.9732"N,097°35'27.4587"W
35°34'56.8674"N,097°35'29.8488"W
35°34'57.0185"N,097°35'32.9962"W
35°34'57.1244"N,097°35'36.2669"W
35°34'57.2755"N,097°35'39.6616"W
35°34'57.4720"N,097°35'42.0499"W
35°34'57.5779"N,097°35'44.8819"W
35°34'57.8197"N,097°35'47.3922"W
35°34'58.0918"N,097°35'50.4726"W
35°34'57.9407"N,097°35'53.4269"W
35°34'57.6837"N,097°35'54.8092"W
35°34'57.4267"N,097°35'57.5791"W
35°34'57.1697"N,097°35'59.7770"W
35°34'56.8674"N,097°36'02.3536"W
35°34'56.5650"N,097°36'05.0556"W
35°34'56.2476"N,097°36'07.7558"W
35°34'55.9452"N,097°36'10.4559"W
35°34'55.6429"N,097°36'13.1562"W
35°34'55.3406"N,097°36'15.8582"W
35°34'55.0836"N,097°36'18.5606"W
35°34'54.8266"N,097°36'21.2611"W
35°34'54.5696"N,097°36'23.9672"W
35°34'54.2975"N,097°36'26.6770"W
35°34'53.6626"N,097°36'29.4407"W
35°34'52.9370"N,097°36'31.1371"W
35°34'52.4230"N,097°36'32.3939"W
35°34'51.4858"N,097°36'33.8377"W
35°34'50.5183"N,097°36'35.2850"W
35°34'49.5508"N,097°36'37.2348"W
35°34'49.0973"N,097°36'39.2458"W
35°34'48.5380"N,097°36'41.1307"W
35°34'48.5834"N,097°36'42.8955"W
35°34'48.5380"N,097°36'45.9157"W
35°34'48.4927"N,097°36'48.9325"W
35°34'48.4473"N,097°36'51.8235"W
35°34'48.4927"N,097°36'54.5220"W
35°34'48.5380"N,097°36'57.2242"W
35°34'48.5834"N,097°36'59.9902"W
35°34'48.5380"N,097°37'02.7556"W
35°34'48.5380"N,097°37'05.5850"W
35°34'48.5380"N,097°37'08.4145"W
35°34'48.5380"N,097°37'11.3715"W
35°34'48.5380"N,097°37'12.5040"W
35°34'48.5380"N,097°37'13.5128"W
35°34'48.5380"N,097°37'14.2703"W
35°34'48.5834"N,097°37'16.2187"W
35°34'48.6287"N,097°37'18.3547"W
35°34'48.5834"N,097°37'20.5558"W
35°34'48.5985"N,097°37'22.9465"W
35°34'48.5985"N,097°37'26.1529"W
35°34'48.5380"N,097°37'29.6702"W
35°34'48.4927"N,097°37'33.1874"W
35°34'48.4473"N,097°37'36.7047"W
35°34'48.4020"N,097°37'40.2277"W
35°34'48.5078"N,097°37'43.7478"W
35°34'48.6136"N,097°37'47.2697"W
35°34'48.5985"N,097°37'50.8491"W
35°34'48.5985"N,097°37'54.4342"W
35°34'48.4322"N,097°37'58.0128"W
35°34'48.3869"N,097°38'01.5955"W
35°34'48.2810"N,097°38'05.1858"W
35°34'48.2810"N,097°38'08.7671"W
35°34'48.3264"N,097°38'12.4106"W
35°34'48.2810"N,097°38'13.9815"W
35°34'48.2357"N,097°38'15.7419"W
35°34'48.2357"N,097°38'17.0620"W
35°34'48.2810"N,097°38'18.1310"W
35°34'48.2357"N,097°38'18.8826"W
35°34'48.2357"N,097°38'19.8296"W
35°34'48.2357"N,097°38'21.2115"W
35°34'48.2357"N,097°38'23.0978"W
35°34'48.2357"N,097°38'25.1697"W
35°34'48.2357"N,097°38'27.4947"W
35°34'48.2357"N,097°38'29.9474"W
35°34'48.2810"N,097°38'32.6477"W
35°34'48.3264"N,097°38'35.3499"W
35°34'48.2659"N,097°38'38.0516"W
35°34'48.2055"N,097°38'40.7513"W
35°34'48.1450"N,097°38'43.4528"W
35°34'48.1903"N,097°38'46.3444"W
35°34'48.1903"N,097°38'49.2394"W
35°34'48.1903"N,097°38'52.1946"W
35°34'48.1903"N,097°38'55.1496"W
35°34'48.1903"N,097°38'58.1065"W
35°34'48.3415"N,097°39'01.0609"W
35°34'48.3415"N,097°39'04.0159"W
35°34'48.3869"N,097°39'06.9732"W
35°34'48.4322"N,097°39'09.3642"W
35°34'48.4776"N,097°39'11.8790"W
35°34'48.5229"N,097°39'15.0837"W
35°34'48.5682"N,097°39'18.5416"W
35°34'48.4473"N,097°39'19.2327"W
35°34'48.4020"N,097°39'19.7987"W
35°34'48.4473"N,097°39'20.8041"W
35°34'48.4927"N,097°39'21.5599"W
35°34'48.4927"N,097°39'21.8111"W
35°34'48.4473"N,097°39'22.2535"W
35°34'47.8880"N,097°39'22.2553"W
35°34'46.7089"N,097°39'22.2569"W
35°34'44.5019"N,097°39'22.1954"W
35°34'41.9019"N,097°39'22.3225"W
35°34'38.2136"N,097°39'22.3862"W
35°34'34.6916"N,097°39'22.2597"W
35°34'31.1696"N,097°39'22.3188"W
35°34'28.2070"N,097°39'22.3160"W
35°34'25.2443"N,097°39'22.3171"W
35°34'22.2817"N,097°39'22.3181"W
35°34'19.2587"N,097°39'22.3167"W
35°34'16.2357"N,097°39'22.3212"W
35°34'13.2128"N,097°39'22.3236"W
35°34'10.2049"N,097°39'22.3224"W
35°34'07.1669"N,097°39'22.3228"W
35°34'04.1441"N,097°39'22.3235"W
35°34'01.9374"N,097°39'22.3857"W
35°33'59.9877"N,097°39'22.5095"W
35°33'58.7635"N,097°39'22.6982"W
35°33'58.2496"N,097°39'22.9499"W
35°33'57.9926"N,097°39'23.4525"W
35°33'57.7811"N,097°39'23.8935"W
35°33'57.8868"N,097°39'24.5259"W
35°33'58.2949"N,097°39'25.3441"W
35°33'58.8541"N,097°39'26.4128"W
35°33'59.6703"N,097°39'28.6771"W
35°34'01.0608"N,097°39'31.7592"W
35°34'02.4966"N,097°39'35.0271"W
35°34'03.9778"N,097°39'38.2372"W
35°34'05.4590"N,097°39'41.6967"W
35°34'07.0460"N,097°39'45.2150"W
35°34'08.6330"N,097°39'48.7334"W
35°34'10.1596"N,097°39'52.5065"W
35°34'11.8676"N,097°39'56.2770"W
35°34'13.4999"N,097°40'00.1109"W
35°34'15.0265"N,097°40'03.3797"W
35°34'16.5078"N,097°40'06.9014"W
35°34'18.0344"N,097°40'10.5470"W
35°34'19.5761"N,097°40'14.2584"W
35°34'21.3144"N,097°40'17.9656"W
35°34'23.0980"N,097°40'22.0520"W
35°34'23.8688"N,097°40'24.0015"W
35°34'24.2769"N,097°40'24.9437"W
35°34'24.6851"N,097°40'25.8897"W
35°34'24.8060"N,097°40'26.2054"W
35°34'24.2921"N,097°40'26.2695"W
35°34'23.4305"N,097°40'26.3329"W
35°34'21.9492"N,097°40'26.2720"W
35°34'19.5912"N,097°40'26.3385"W
35°34'16.3869"N,097°40'26.4027"W
35°34'12.9709"N,097°40'26.4674"W
35°34'09.5399"N,097°40'26.4027"W
35°34'05.9729"N,097°40'26.4663"W
35°34'02.3908"N,097°40'26.5299"W
35°33'58.8088"N,097°40'26.5935"W
35°33'57.0254"N,097°40'26.5306"W
35°33'56.6626"N,097°40'26.5919"W
35°33'56.6173"N,097°40'25.8379"W
35°33'56.5719"N,097°40'24.8328"W
35°33'56.4208"N,097°40'23.1969"W
35°33'56.3755"N,097°40'20.8700"W
35°33'56.1639"N,097°40'18.2310"W
35°33'56.1185"N,097°40'15.4654"W
35°33'56.1639"N,097°40'12.5093"W
35°33'56.2092"N,097°40'09.3695"W
35°33'56.2394"N,097°40'06.0982"W
35°33'56.2848"N,097°40'04.7113"W
35°33'56.2394"N,097°40'03.7099"W
35°33'56.2092"N,097°40'02.9559"W
35°33'56.1639"N,097°40'00.8822"W
35°33'56.3150"N,097°39'57.8031"W
35°33'56.2697"N,097°39'53.9671"W
35°33'56.2243"N,097°39'49.8836"W
35°33'56.1790"N,097°39'44.8534"W
35°33'56.1639"N,097°39'43.4061"W
35°33'56.2092"N,097°39'41.2055"W
35°33'56.3150"N,097°39'38.6303"W
35°33'56.3603"N,097°39'36.1166"W
35°33'56.1488"N,097°39'34.3586"W
35°33'56.1941"N,097°39'33.5470"W
35°33'55.9372"N,097°39'32.8556"W
35°33'55.8767"N,097°39'31.9158"W
35°33'55.5140"N,097°39'31.1618"W
35°33'55.0001"N,097°39'30.2828"W
35°33'54.4409"N,097°39'29.0268"W
35°33'53.5190"N,097°39'27.8340"W
35°33'52.9598"N,097°39'26.4504"W
35°33'52.3552"N,097°39'25.3797"W
35°33'51.9320"N,097°39'23.9935"W
35°33'51.9320"N,097°39'22.7974"W
35°33'51.8867"N,097°39'22.3602"W
35°33'51.1763"N,097°39'22.2974"W
35°33'50.4056"N,097°39'22.2341"W
35°33'48.0479"N,097°39'22.2991"W
35°33'45.6902"N,097°39'22.2986"W
35°33'43.4383"N,097°39'22.1749"W
35°33'43.4836"N,097°39'23.1182"W
35°33'43.5290"N,097°39'24.1233"W
35°33'43.4836"N,097°39'24.7491"W
35°33'42.5617"N,097°39'24.6885"W
35°33'40.9900"N,097°39'24.6912"W
35°33'40.2192"N,097°39'24.6919"W
