35°31'33.3283"N,097°34'04.4009"W
35°30'46.6383"N,097°33'56.3797"W
35°30'45.0826"N,097°33'56.3132"W
35°30'43.5420"N,097°33'56.2503"W
35°30'41.9561"N,097°33'56.3148"W
35°30'41.0348"N,097°33'56.3154"W
35°30'40.1135"N,097°33'56.3158"W
35°30'39.0411"N,097°33'56.3156"W
35°30'37.7573"N,097°33'56.2580"W
35°30'36.4282"N,097°33'56.3199"W
35°30'35.0992"N,097°33'56.3203"W
35°30'33.6643"N,097°33'56.3817"W
35°30'32.4410"N,097°33'56.2587"W
35°30'30.9609"N,097°33'56.1326"W
35°30'29.5865"N,097°33'56.2581"W
35°30'28.3632"N,097°33'56.3844"W
35°30'27.3966"N,097°33'56.2554"W
35°30'26.2639"N,097°33'56.2548"W
35°30'24.7838"N,097°33'56.2599"W
35°30'23.1527"N,097°33'56.3221"W
35°30'21.2045"N,097°33'56.1990"W
35°30'19.9811"N,097°33'56.2035"W
35°30'18.4407"N,097°33'56.2663"W
35°30'17.0060"N,097°33'56.3894"W
35°30'15.6770"N,097°33'56.3260"W
35°30'14.2120"N,097°33'56.2636"W
35°30'12.7471"N,097°33'56.2013"W
35°30'11.4181"N,097°33'56.2014"W
35°30'10.2402"N,097°33'56.2588"W
35°30'08.7602"N,097°33'56.3255"W
35°30'07.1292"N,097°33'56.3859"W
35°30'05.4982"N,097°33'56.3825"W
35°30'03.9578"N,097°33'56.2543"W
35°30'02.5685"N,097°33'56.2542"W
35°30'01.1187"N,097°33'56.2537"W
35°29'59.1706"N,097°33'56.2560"W
35°29'57.6303"N,097°33'56.1933"W
35°29'56.1655"N,097°33'56.1309"W
35°29'54.8064"N,097°33'56.3238"W
35°29'53.4321"N,097°33'56.5112"W
35°29'52.1033"N,097°33'56.3166"W
35°29'50.7744"N,097°33'56.1276"W
35°29'49.6569"N,097°33'56.1889"W
35°29'48.2676"N,097°33'56.3124"W
35°29'47.1954"N,097°33'56.7523"W
35°29'46.7424"N,097°33'57.3829"W
35°29'46.8934"N,097°33'58.1966"W
35°29'47.2559"N,097°33'57.6292"W
35°29'47.6183"N,097°33'56.9344"W
35°29'47.2710"N,097°33'56.3087"W
35°29'46.3045"N,097°33'56.2454"W
35°29'45.3834"N,097°33'56.1804"W
35°29'44.3565"N,097°33'56.3040"W
35°29'42.7256"N,097°33'56.3026"W
35°29'40.9438"N,097°33'56.3040"W
35°29'39.2525"N,097°33'56.3023"W
35°29'37.5160"N,097°33'56.3040"W
35°29'36.8516"N,097°33'56.3041"W
35°29'36.3382"N,097°33'56.3032"W
35°29'35.7191"N,097°33'56.2959"W
35°29'35.4775"N,097°33'56.2984"W
35°29'35.1302"N,097°33'56.2365"W
35°29'34.3299"N,097°33'56.1741"W
35°29'33.5144"N,097°33'56.2371"W
35°29'32.2913"N,097°33'56.3634"W
35°29'31.0078"N,097°33'56.1746"W
35°29'29.7243"N,097°33'56.3643"W
35°29'28.5013"N,097°33'56.3033"W
35°29'27.2178"N,097°33'56.2457"W
35°29'25.5870"N,097°33'56.1843"W
35°29'23.8506"N,097°33'56.3096"W
35°29'22.1141"N,097°33'56.3674"W
35°29'20.6797"N,097°33'56.2977"W
35°29'18.9885"N,097°33'56.2342"W
35°29'17.8108"N,097°33'56.2971"W
35°29'16.5726"N,097°33'56.3577"W
35°29'15.3496"N,097°33'56.2967"W
35°29'14.1266"N,097°33'56.2338"W
35°29'12.9036"N,097°33'56.1672"W
35°29'11.6805"N,097°33'56.3552"W
35°29'10.3971"N,097°33'56.2958"W
35°29'09.1741"N,097°33'56.2309"W
35°29'07.8001"N,097°33'56.1673"W
35°29'06.2601"N,097°33'56.1664"W
35°29'04.7200"N,097°33'56.1654"W
35°29'03.6480"N,097°33'56.2943"W
35°29'02.3043"N,097°33'56.2908"W
35°29'00.9756"N,097°33'56.2871"W
35°28'59.6469"N,097°33'56.2836"W
35°28'58.5750"N,097°33'55.9706"W
35°28'58.3636"N,097°33'55.0256"W
35°28'58.3636"N,097°33'55.6529"W
35°28'58.4844"N,097°33'56.0281"W
35°28'57.7748"N,097°33'56.0280"W
35°28'56.8991"N,097°33'56.1543"W
35°28'55.9781"N,097°33'56.2823"W
35°28'54.7098"N,097°33'56.2228"W
35°28'53.2906"N,097°33'56.2862"W
35°28'51.8563"N,097°33'56.2859"W
35°28'50.4220"N,097°33'56.2873"W
35°28'49.1991"N,097°33'56.3519"W
35°28'47.6138"N,097°33'56.3507"W
35°28'46.4362"N,097°33'56.2861"W
35°28'45.4700"N,097°33'56.2845"W
35°28'44.7000"N,097°33'56.2860"W
35°28'43.8847"N,097°33'56.2852"W
35°28'43.4167"N,097°33'56.2845"W
35°28'43.0544"N,097°33'56.2864"W
35°28'42.8430"N,097°33'56.2851"W
35°28'42.8430"N,097°33'56.9742"W
35°28'42.9487"N,097°33'58.2276"W
35°28'42.9034"N,097°34'00.0476"W
35°28'42.9034"N,097°34'02.0533"W
35°28'42.9034"N,097°34'04.6919"W
35°28'42.9034"N,097°34'07.3267"W
35°28'42.9034"N,097°34'10.0253"W
35°28'42.9034"N,097°34'12.5964"W
35°28'42.9034"N,097°34'15.5496"W
35°28'42.9034"N,097°34'16.6170"W
35°28'42.9034"N,097°34'17.5571"W
35°28'42.9034"N,097°34'18.0589"W
35°28'43.0695"N,097°34'18.9382"W
35°28'43.3261"N,097°34'19.9414"W
35°28'43.3261"N,097°34'21.1343"W
35°28'43.1751"N,097°34'22.5155"W
35°28'43.2204"N,097°34'24.1488"W
35°28'43.3412"N,097°34'26.1587"W
35°28'43.2355"N,097°34'28.1676"W
35°28'43.1449"N,097°34'30.1783"W
35°28'43.1449"N,097°34'32.2494"W
35°28'43.1449"N,097°34'34.6971"W
35°28'43.1902"N,097°34'37.2723"W
35°28'43.1902"N,097°34'39.5326"W
35°28'43.0846"N,097°34'41.5413"W
35°28'43.2355"N,097°34'43.5516"W
35°28'43.1902"N,097°34'45.0587"W
35°28'43.3412"N,097°34'46.6271"W
35°28'43.5526"N,097°34'48.4485"W
35°28'43.5979"N,097°34'49.7634"W
35°28'43.5979"N,097°34'51.7747"W
35°28'43.5979"N,097°34'53.9095"W
35°28'43.5526"N,097°34'56.1096"W
35°28'43.4016"N,097°34'57.7398"W
35°28'43.2959"N,097°34'58.4339"W
35°28'43.1751"N,097°34'59.1206"W
35°28'43.5828"N,097°34'59.3720"W
35°28'44.0961"N,097°34'59.4347"W
35°28'44.6547"N,097°34'59.0598"W
35°28'44.9717"N,097°34'58.8686"W
35°28'45.0321"N,097°34'58.4963"W
35°28'44.9264"N,097°34'58.1193"W
35°28'44.7151"N,097°34'58.0545"W
35°28'44.3527"N,097°34'58.1816"W
35°28'43.9904"N,097°34'58.5615"W
35°28'43.6281"N,097°34'58.7505"W
35°28'43.2657"N,097°34'59.0650"W
35°28'43.2506"N,097°34'59.5687"W
35°28'43.2959"N,097°34'59.9434"W
35°28'43.1449"N,097°35'00.6297"W
35°28'43.1449"N,097°35'01.8864"W
35°28'43.2053"N,097°35'03.3941"W
35°28'43.2657"N,097°35'05.2766"W
35°28'43.2657"N,097°35'07.2859"W
35°28'43.1600"N,097°35'09.1055"W
35°28'43.1449"N,097°35'11.0531"W
35°28'43.1902"N,097°35'12.8717"W
35°28'43.2355"N,097°35'14.1904"W
35°28'43.3714"N,097°35'15.2604"W
35°28'43.5224"N,097°35'16.1395"W
35°28'43.6432"N,097°35'17.7713"W
35°28'43.5375"N,097°35'19.4018"W
35°28'43.5375"N,097°35'21.2820"W
35°28'43.5375"N,097°35'23.4207"W
35°28'43.5224"N,097°35'25.5592"W
35°28'43.5224"N,097°35'27.6265"W
35°28'43.4167"N,097°35'29.7607"W
35°28'43.2053"N,097°35'31.9581"W
35°28'43.4167"N,097°35'34.0322"W
35°28'43.5224"N,097°35'36.6696"W
35°28'43.4771"N,097°35'38.8679"W
35°28'43.4771"N,097°35'41.3173"W
35°28'43.4771"N,097°35'43.7611"W
35°28'43.4771"N,097°35'46.2051"W
35°28'43.4771"N,097°35'48.6527"W
35°28'43.4771"N,097°35'51.2276"W
35°28'43.4771"N,097°35'53.8026"W
35°28'43.4771"N,097°35'56.3755"W
35°28'43.4771"N,097°35'58.9505"W
35°28'43.4771"N,097°36'01.5273"W
35°28'43.2355"N,097°36'02.9696"W
35°28'43.1902"N,097°36'04.7298"W
35°28'43.4469"N,097°36'06.9896"W
35°28'43.5073"N,097°36'09.4414"W
35°28'43.5526"N,097°36'12.0146"W
35°28'43.5979"N,097°36'14.7135"W
35°28'43.5979"N,097°36'17.4139"W
35°28'43.5979"N,097°36'18.3558"W
35°28'43.5526"N,097°36'19.6121"W
35°28'43.3110"N,097°36'21.0564"W
35°28'43.5224"N,097°36'23.4416"W
35°28'43.5224"N,097°36'25.8311"W
35°28'43.6281"N,097°36'28.1520"W
35°28'43.5224"N,097°36'30.7899"W
35°28'43.5828"N,097°36'33.4251"W
35°28'43.5828"N,097°36'34.1163"W
35°28'43.4771"N,097°36'35.0594"W
35°28'43.4771"N,097°36'35.4358"W
35°28'43.1751"N,097°36'35.6849"W
35°28'42.7222"N,097°36'35.3732"W
35°28'42.2089"N,097°36'34.9975"W
35°28'42.2542"N,097°36'35.3086"W
35°28'42.4052"N,097°36'35.8115"W
35°28'42.9185"N,097°36'35.9999"W
35°28'43.5375"N,097°36'35.9361"W
35°28'44.7151"N,097°36'36.0032"W
35°28'45.9984"N,097°36'36.0653"W
35°28'47.2666"N,097°36'36.1291"W
35°28'48.5499"N,097°36'36.1911"W
35°28'49.8332"N,097°36'36.2570"W
35°28'51.1165"N,097°36'36.3189"W
35°28'52.3998"N,097°36'36.3811"W
35°28'53.6832"N,097°36'36.1904"W
35°28'54.9061"N,097°36'36.1902"W
35°28'56.1894"N,097°36'36.1267"W
35°28'57.4728"N,097°36'36.1289"W
35°28'58.7561"N,097°36'36.1328"W
35°29'00.0395"N,097°36'36.1293"W
35°29'01.3229"N,097°36'36.1335"W
35°29'02.6515"N,097°36'36.1957"W
35°29'03.8745"N,097°36'36.1338"W
35°29'05.1579"N,097°36'36.1341"W
35°29'06.4413"N,097°36'36.1343"W
35°29'07.7246"N,097°36'36.1327"W
35°29'08.9929"N,097°36'36.1329"W
35°29'10.2763"N,097°36'36.1369"W
35°29'11.5749"N,097°36'36.1409"W
35°29'12.8432"N,097°36'36.1393"W
35°29'14.1266"N,097°36'36.1414"W
35°29'15.4100"N,097°36'36.1435"W
35°29'16.6934"N,097°36'36.1456"W
35°29'17.9769"N,097°36'36.1459"W
35°29'19.2603"N,097°36'36.1461"W
35°29'20.5438"N,097°36'36.1464"W
35°29'21.8272"N,097°36'36.1447"W
35°29'23.1107"N,097°36'36.1431"W
35°29'24.3941"N,097°36'36.1434"W
35°29'25.6776"N,097°36'36.1474"W
35°29'26.9762"N,097°36'36.1515"W
35°29'28.2597"N,097°36'36.1536"W
35°29'29.5281"N,097°36'36.1520"W
35°29'30.8115"N,097°36'36.1522"W
35°29'32.0950"N,097°36'36.1525"W
35°29'33.3785"N,097°36'36.1527"W
35°29'34.6621"N,097°36'36.1511"W
35°29'35.4322"N,097°36'36.2118"W
35°29'35.7946"N,097°36'36.2740"W
35°29'35.8550"N,097°36'35.5214"W
35°29'35.8550"N,097°36'34.2029"W
35°29'35.8097"N,097°36'32.6311"W
35°29'35.7644"N,097°36'30.6848"W
35°29'35.7342"N,097°36'28.7404"W
35°29'35.7644"N,097°36'26.8563"W
35°29'35.8097"N,097°36'25.0323"W
35°29'35.8550"N,097°36'23.2138"W
35°29'35.9003"N,097°36'21.3936"W
35°29'35.7946"N,097°36'19.5724"W
35°29'35.7946"N,097°36'17.7518"W
35°29'35.7946"N,097°36'15.9294"W
35°29'35.8097"N,097°36'14.1069"W
35°29'35.8097"N,097°36'12.2882"W
35°29'35.8097"N,097°36'10.4715"W
35°29'35.8248"N,097°36'08.6509"W
35°29'35.8248"N,097°36'06.9522"W
35°29'35.8399"N,097°36'05.2609"W
35°29'35.8399"N,097°36'03.5639"W
35°29'35.8399"N,097°36'01.8727"W
35°29'35.8399"N,097°36'00.1776"W
35°29'35.8399"N,097°35'58.4825"W
35°29'35.8399"N,097°35'56.7874"W
35°29'35.8399"N,097°35'55.0904"W
35°29'35.8399"N,097°35'53.3953"W
35°29'35.8399"N,097°35'51.6983"W
35°29'35.8399"N,097°35'50.0034"W
35°29'35.8399"N,097°35'48.3064"W
35°29'35.8399"N,097°35'46.6113"W
35°29'35.8399"N,097°35'44.9143"W
35°29'35.8399"N,097°35'43.2212"W
35°29'35.8248"N,097°35'41.5279"W
35°29'35.8248"N,097°35'39.8328"W
35°29'35.8248"N,097°35'38.1397"W
35°29'35.8248"N,097°35'36.4463"W
35°29'35.8248"N,097°35'34.7512"W
35°29'35.8248"N,097°35'33.0563"W
35°29'35.8248"N,097°35'31.3630"W
35°29'35.8248"N,097°35'29.5443"W
35°29'35.8248"N,097°35'27.7237"W
35°29'35.8248"N,097°35'25.9050"W
35°29'35.8248"N,097°35'24.0845"W
35°29'35.8399"N,097°35'22.2021"W
35°29'35.8550"N,097°35'20.3200"W
35°29'35.8550"N,097°35'18.4358"W
35°29'35.8399"N,097°35'16.5476"W
35°29'35.8399"N,097°35'14.6653"W
35°29'35.8550"N,097°35'12.7848"W
35°29'35.8550"N,097°35'10.9006"W
35°29'35.8550"N,097°35'09.0163"W
35°29'35.8550"N,097°35'07.3868"W
35°29'35.8550"N,097°35'05.7535"W
35°29'35.8399"N,097°35'04.4348"W
35°29'35.8399"N,097°35'03.1161"W
35°29'35.8550"N,097°35'01.9232"W
35°29'35.8550"N,097°35'00.7302"W
35°29'35.9003"N,097°35'00.5449"W
35°29'35.6889"N,097°35'00.2309"W
35°29'35.8399"N,097°34'59.4770"W
35°29'35.9909"N,097°34'58.7231"W
35°29'35.8852"N,097°34'57.4038"W
35°29'35.8399"N,097°34'55.6466"W
35°29'35.7493"N,097°34'53.6382"W
35°29'35.6436"N,097°34'51.6298"W
35°29'35.6436"N,097°34'49.4964"W
35°29'35.7946"N,097°34'47.2966"W
35°29'35.9456"N,097°34'46.4171"W
35°29'35.9456"N,097°34'45.9769"W
35°29'35.8399"N,097°34'45.6616"W
35°29'35.8399"N,097°34'45.2852"W
35°29'35.8399"N,097°34'44.9125"W
35°29'35.8399"N,097°34'44.5361"W
35°29'35.8399"N,097°34'44.1558"W
35°29'35.8399"N,097°34'43.9048"W
35°29'35.8852"N,097°34'43.5922"W
35°29'36.5496"N,097°34'43.5305"W
35°29'37.9841"N,097°34'43.3418"W
35°29'39.4639"N,097°34'43.4045"W
35°29'41.3515"N,097°34'43.5931"W
35°29'43.2995"N,097°34'43.5947"W
35°29'45.6099"N,097°34'43.5310"W
35°29'48.2676"N,097°34'43.4693"W
35°29'50.3666"N,097°34'43.4100"W
35°29'52.3600"N,097°34'42.9716"W
35°29'54.4590"N,097°34'42.7231"W
35°29'56.4071"N,097°34'42.3501"W
35°29'58.1890"N,097°34'41.7177"W
35°29'59.8804"N,097°34'41.0904"W
35°30'01.5265"N,097°34'40.2117"W
35°30'03.5199"N,097°34'39.5842"W
35°30'05.5133"N,097°34'38.7694"W
35°30'07.4614"N,097°34'38.1397"W
35°30'09.5606"N,097°34'37.3911"W
35°30'11.7655"N,097°34'36.6373"W
35°30'13.8647"N,097°34'35.8829"W
35°30'16.0092"N,097°34'35.0033"W
35°30'18.2142"N,097°34'34.1877"W
35°30'20.5097"N,097°34'33.7492"W
35°30'22.6543"N,097°34'33.4971"W
35°30'24.8442"N,097°34'33.1853"W
35°30'27.0492"N,097°34'32.8099"W
35°30'29.1485"N,097°34'32.8104"W
35°30'31.2478"N,097°34'32.8090"W
35°30'33.3472"N,097°34'32.6840"W
35°30'35.3861"N,097°34'33.0590"W
35°30'36.8209"N,097°34'33.3125"W
35°30'38.4521"N,097°34'33.7506"W
35°30'39.7510"N,097°34'33.9396"W
35°30'41.0650"N,097°34'34.5691"W
35°30'42.3035"N,097°34'34.9468"W
35°30'43.5420"N,097°34'35.1356"W
35°30'45.4300"N,097°34'35.1986"W
35°30'47.3180"N,097°34'35.1981"W
35°30'49.3117"N,097°34'35.3854"W
35°30'51.3055"N,097°34'35.3834"W
35°30'53.3445"N,097°34'35.3837"W
35°30'55.3987"N,097°34'35.4514"W
35°30'57.4378"N,097°34'35.5154"W
35°30'59.4769"N,097°34'35.5794"W
35°31'01.6671"N,097°34'35.6422"W
35°31'03.8724"N,097°34'35.5197"W
35°31'06.0928"N,097°34'35.5191"W
35°31'08.2981"N,097°34'35.5241"W
35°31'10.5488"N,097°34'35.5216"W
35°31'12.7995"N,097°34'35.5231"W
35°31'15.0502"N,097°34'35.5227"W
35°31'17.3009"N,097°34'35.5222"W
35°31'19.5516"N,097°34'35.5217"W
35°31'21.7117"N,097°34'35.5226"W
35°31'23.8718"N,097°34'35.7746"W
35°31'26.0169"N,097°34'36.0247"W
35°31'28.1770"N,097°34'36.2766"W
35°31'30.1257"N,097°34'37.1552"W
35°31'32.0744"N,097°34'37.7864"W
35°31'34.0231"N,097°34'38.4156"W
35°31'35.7604"N,097°34'39.2331"W
35°31'37.5430"N,097°34'40.1763"W
35°31'39.3255"N,097°34'41.1157"W
35°31'41.1081"N,097°34'41.7461"W
35°31'42.9512"N,097°34'42.3092"W
35°31'44.7942"N,097°34'43.1254"W
35°31'46.6373"N,097°34'43.5631"W
35°31'48.4803"N,097°34'44.0045"W
35°31'50.4291"N,097°34'44.1917"W
35°31'52.4233"N,097°34'44.5684"W
35°31'53.4053"N,097°34'44.7557"W
35°31'54.1758"N,097°34'44.6945"W
35°31'54.5837"N,097°34'44.6930"W
35°31'54.3117"N,097°34'43.8108"W
35°31'53.6470"N,097°34'42.5514"W
35°31'53.1334"N,097°34'41.1712"W
35°31'52.4686"N,097°34'39.7902"W
35°31'51.8039"N,097°34'38.2836"W
35°31'51.1392"N,097°34'36.7789"W
35°31'50.8673"N,097°34'36.1495"W
35°31'50.4140"N,097°34'34.7660"W
35°31'49.7493"N,097°34'33.1975"W
35°31'49.1299"N,097°34'31.6875"W
35°31'48.8429"N,097°34'30.8744"W
35°31'48.5407"N,097°34'30.1850"W
35°31'48.2386"N,097°34'29.4919"W
35°31'48.0875"N,097°34'28.9270"W
35°31'47.7250"N,097°34'28.4884"W
35°31'47.2113"N,097°34'28.4255"W
35°31'46.7581"N,097°34'28.1120"W
35°31'46.1991"N,097°34'26.7315"W
35°31'45.7459"N,097°34'25.7882"W
35°31'45.2776"N,097°34'24.8469"W
35°31'44.8546"N,097°34'23.6528"W
35°31'44.2352"N,097°34'22.3320"W
35°31'43.5705"N,097°34'20.8892"W
35°31'42.8605"N,097°34'19.1313"W
35°31'42.1354"N,097°34'17.3734"W
35°31'41.4254"N,097°34'15.6136"W
35°31'40.7154"N,097°34'13.9196"W
35°31'40.0053"N,097°34'12.2235"W
35°31'39.2953"N,097°34'10.5295"W
35°31'38.5853"N,097°34'08.8934"W
35°31'37.8753"N,097°34'07.2611"W
35°31'37.6185"N,097°34'06.8193"W
35°31'37.4221"N,097°34'06.3816"W
35°31'37.3768"N,097°34'06.1266"W
35°31'37.2710"N,097°34'06.0624"W
35°31'36.9085"N,097°34'06.0659"W
35°31'36.3646"N,097°34'06.0667"W
35°31'36.1078"N,097°34'06.3201"W
35°31'35.8812"N,097°34'06.8229"W
35°31'35.7755"N,097°34'07.5137"W
35°31'35.9870"N,097°34'08.2063"W
35°31'36.4251"N,097°34'08.8346"W
35°31'37.1955"N,097°34'09.4590"W
