35°31'35.9719"N,097°34'05.9802"W
35°31'07.0595"N,097°32'04.0256"W
35°31'05.6245"N,097°32'04.0221"W
35°31'04.1896"N,097°32'04.0223"W
35°31'02.7546"N,097°32'04.0225"W
35°31'01.3197"N,097°32'04.0227"W
35°30'59.8847"N,097°32'04.0209"W
35°30'58.4347"N,097°32'04.0191"W
35°30'56.9998"N,097°32'04.0193"W
35°30'55.5649"N,097°32'04.0195"W
35°30'54.1299"N,097°32'04.0197"W
35°30'52.6950"N,097°32'04.0218"W
35°30'51.2601"N,097°32'04.0219"W
35°30'49.8253"N,097°32'04.0202"W
35°30'48.3904"N,097°32'04.0185"W
35°30'46.9555"N,097°32'04.0187"W
35°30'45.5357"N,097°32'04.0171"W
35°30'44.1160"N,097°32'04.0135"W
35°30'42.6811"N,097°32'04.0138"W
35°30'41.2463"N,097°32'04.0121"W
35°30'39.7963"N,097°32'04.0104"W
35°30'38.3615"N,097°32'04.0105"W
35°30'36.9871"N,097°32'04.0109"W
35°30'35.5976"N,097°32'04.0077"W
35°30'34.2081"N,097°32'04.0081"W
35°30'33.3321"N,097°32'04.0054"W
35°30'32.4561"N,097°32'04.0048"W
35°30'31.2327"N,097°32'04.0060"W
35°30'29.9490"N,097°32'04.0032"W
35°30'29.1787"N,097°32'04.0030"W
35°30'28.6199"N,097°32'04.0020"W
35°30'28.2121"N,097°32'04.0019"W
35°30'28.1517"N,097°32'04.3181"W
35°30'28.2574"N,097°32'04.9462"W
35°30'28.7709"N,097°32'05.0743"W
35°30'28.8163"N,097°32'04.5088"W
35°30'28.8163"N,097°32'04.0685"W
35°30'28.5142"N,097°32'04.0034"W
35°30'28.1668"N,097°32'03.9435"W
35°30'27.2002"N,097°32'03.9424"W
35°30'26.2337"N,097°32'03.9431"W
35°30'25.2520"N,097°32'03.9417"W
35°30'24.0740"N,097°32'03.9395"W
35°30'22.8959"N,097°32'03.9372"W
35°30'21.7179"N,097°32'03.9369"W
35°30'20.4946"N,097°32'03.7489"W
35°30'19.2109"N,097°32'03.6225"W
35°30'17.9272"N,097°32'03.4961"W
35°30'16.7039"N,097°32'03.6846"W
35°30'15.3598"N,097°32'03.8726"W
35°30'13.8194"N,097°32'03.6849"W
35°30'12.1884"N,097°32'03.8095"W
35°30'10.5573"N,097°32'03.9361"W
35°30'08.9263"N,097°32'04.0608"W
35°30'07.5973"N,097°32'03.7469"W
35°30'06.1627"N,097°32'03.7471"W
35°30'04.7280"N,097°32'03.7473"W
35°30'03.3085"N,097°32'03.7493"W
35°30'01.8738"N,097°32'03.7495"W
35°30'01.1036"N,097°32'03.7494"W
35°29'59.9257"N,097°32'03.7490"W
35°29'59.4727"N,097°32'03.7466"W
35°29'59.0196"N,097°32'03.7481"W
35°29'58.7629"N,097°32'03.7487"W
35°29'58.5364"N,097°32'03.7457"W
35°29'58.3250"N,097°32'03.7427"W
35°29'58.1739"N,097°32'03.4272"W
35°29'58.1286"N,097°32'02.6103"W
35°29'58.1739"N,097°32'01.3518"W
35°29'58.2192"N,097°32'00.0951"W
35°29'58.2645"N,097°31'58.8366"W
35°29'58.0531"N,097°31'58.1444"W
35°29'58.1437"N,097°31'57.5154"W
35°29'58.0984"N,097°31'56.8259"W
35°29'58.0531"N,097°31'56.1364"W
35°29'58.0078"N,097°31'55.4449"W
35°29'57.2981"N,097°31'55.4431"W
35°29'56.5732"N,097°31'55.4396"W
35°29'55.8634"N,097°31'55.6270"W
35°29'55.1990"N,097°31'55.5655"W
35°29'54.8366"N,097°31'55.6293"W
35°29'54.4288"N,097°31'55.6927"W
35°29'54.3835"N,097°31'56.2621"W
35°29'54.3986"N,097°31'57.0150"W
35°29'54.3986"N,097°31'57.7662"W
35°29'53.9456"N,097°31'58.5207"W
35°29'53.4774"N,097°31'59.2731"W
35°29'53.0244"N,097°32'00.0275"W
35°29'52.5110"N,097°32'00.7179"W
